"","Dose","mu","ci_low","ci_up","pi_low","pi_up"
"1",0.001,100,90.5406419350885,110.312658555283,73.0697185960551,136.389141297806
"2",0.335444816053512,100,90.5406419350885,110.312658555283,73.1602194483004,136.414473382741
"3",0.669889632107023,99.9999999999999,90.5406419350883,110.312658555283,73.6498264703542,136.14621285759
"4",1.00433444816053,99.9999999999974,90.5406419350842,110.312658555283,73.3202529375873,136.007068935806
"5",1.33877926421405,99.9999999999736,90.5406419350492,110.312658555282,72.9810784169498,136.101516727045
"6",1.67322408026756,99.9999999998427,90.5406419348695,110.312658555276,73.2270915679363,135.978140685073
"7",2.00766889632107,99.9999999993243,90.540641934196,110.31265855525,73.1527645330329,136.785388133457
"8",2.34211371237458,99.999999997682,90.5406419321612,110.312658555162,73.3100474255567,136.475266825045
"9",2.67655852842809,99.999999993257,90.5406419268965,110.31265855491,73.650741368086,136.412518316798
"10",3.0110033444816,99.9999999827046,90.5406419147823,110.312658554272,73.4029708350494,136.363579247387
"11",3.34544816053512,99.9999999598325,90.5406418893469,110.312658552812,73.3168207482891,136.314175318899
"12",3.67989297658863,99.9999999139162,90.5406418397281,110.31265854973,73.4553665289917,135.357230525653
"13",4.01433779264214,99.9999998273561,90.5406417485976,110.31265854364,73.2064465993874,135.952035553515
"14",4.34878260869565,99.9999996725224,90.5406415894445,110.312658532254,73.2032473813776,136.41397218375
"15",4.68322742474916,99.9999994076179,90.5406413231034,110.312658511944,73.433602965154,136.064101305408
"16",5.01767224080268,99.9999989713722,90.5406408934069,110.312658477147,73.514734873418,136.195611330444
"17",5.35211705685619,99.9999982763671,90.5406402218331,110.312658419586,73.1163084530641,136.682725968984
"18",5.6865618729097,99.9999972007731,90.5406392010135,110.312658327251,73.4415939293933,136.382640652507
"19",6.02100668896321,99.9999955782639,90.5406376869583,110.31265818311,73.477878151312,135.915112371151
"20",6.35545150501672,99.9999931858575,90.5406354898481,110.312657963481,73.5308852237544,136.790362372883
"21",6.68989632107023,99.9999897294188,90.540632363237,110.312657636013,73.2715210183184,136.133772983786
"22",7.02434113712375,99.9999848265388,90.540627991503,110.312657157218,73.7069834220276,136.16277364593
"23",7.35878595317726,99.999977986493,90.5406219753754,110.312656469468,73.5224295500088,136.319725201912
"24",7.69323076923077,99.9999685869643,90.5406138153629,110.312655497385,72.9153014619337,136.046493826543
"25",8.02767558528428,99.9999558471969,90.5406028929,110.31265414354,73.5378732516475,137.299381888364
"26",8.36212040133779,99.9999387972367,90.5405884490211,110.312652283365,72.9253028163405,136.331205869052
"27",8.6965652173913,99.9999162428932,90.5405695603682,110.312649759168,73.0282355022625,136.600867961938
"28",9.03101003344482,99.9998867260431,90.5405451123294,110.312646373162,73.3132237318338,136.141650275032
"29",9.36545484949833,99.9998484798809,90.5405137691012,110.312641879362,73.4698256071013,136.747887861806
"30",9.69989966555184,99.9997993787047,90.5404739404597,110.312635974247,73.3215606385832,136.616580029757
"31",10.0343444816054,99.9997368818095,90.5404237450228,110.312628286034,72.9899681959309,136.660797315086
"32",10.3687892976589,99.9996579710441,90.5403609697763,110.312618362433,73.4447277145436,135.574468476397
"33",10.7032341137124,99.9995590815725,90.5402830256333,110.312605656712,72.9983269354884,136.419158253771
"34",11.0376789297659,99.9994360253657,90.540186898791,110.31258951192,73.3214071956864,136.360755916938
"35",11.3721237458194,99.9992839069315,90.5400690976411,110.312569143088,73.1470869980309,135.344561703412
"36",11.7065685618729,99.9990970307774,90.5399255949875,110.312543617218,73.2491432856664,135.73815184894
"37",12.0410133779264,99.998868800085,90.5397517653181,110.312511830876,73.1374946054737,136.065584128617
"38",12.3754581939799,99.9985916060595,90.5395423168734,110.312472485169,73.336843183851,137.102491862029
"39",12.7099030100334,99.9982567074036,90.5392912182476,110.31208692297,73.2844960560477,136.213336558244
"40",13.044347826087,99.99785409935,90.5389916192577,110.311441891534,73.5855251818903,135.932073743855
"41",13.3787926421405,99.9973723716748,90.5386357658065,110.310667296172,72.9787154728372,136.439713044293
"42",13.713237458194,99.9967985550979,90.5382149084653,110.309741358437,73.2868072563395,136.008941754314
"43",14.0476822742475,99.9961179554675,90.537719204496,110.308633778854,73.1756784233265,136.328994923552
"44",14.382127090301,99.995313975111,90.5371376130305,110.307308900232,73.0719577666613,136.363128273979
"45",14.7165719063545,99.994367920727,90.5364577831211,110.305745041916,73.2837406946204,136.47529016883
"46",15.051016722408,99.9932587971796,90.535665934374,110.303906045192,73.4314618372879,136.773374948733
"47",15.3854615384615,99.9919630865537,90.5347467298764,110.301978484914,73.3589232928316,136.898551948356
